Código Producto,Fecha,Ventas Actuales,Ventas Reales Futuras,Ventas Predichas,Precio Promedio,Frecuencia,Cluster,Error Absoluto ($),Error (%)
1009,2022-12-01,10.0,22.0,11.05,165000.0,5,0,10.95,49.76
692,2022-12-01,6.0,29.0,28.56,6000.0,3,0,0.44,1.51
2873,2022-12-01,3.0,7.0,10.63,3082.5,2,0,3.63,51.87
567,2022-12-01,19.0,68.0,38.57,15571.15,13,0,29.43,43.28
1200,2022-12-01,1.0,5.0,11.03,10500.0,1,0,6.03,120.6
686,2022-12-01,11.0,32.0,22.02,14959.88,5,0,9.98,31.18
T6525,2022-12-01,22.0,19.0,14.43,816.67,6,1,4.57,24.07
469,2022-12-01,3.0,13.0,11.03,17638.33,3,0,1.97,15.18
1458,2022-12-01,1.0,7.0,10.44,12000.0,1,0,3.44,49.21
533,2022-12-01,3.0,27.0,19.97,9000.0,3,0,7.03,26.05
1202,2022-12-01,5.0,37.0,30.18,10183.33,3,0,6.82,18.42
1003,2022-12-01,12.0,3.0,12.09,86914.75,6,0,9.09,303.09
1420,2022-12-01,1.0,18.0,10.35,16880.0,1,0,7.65,42.52
603,2022-12-01,3.0,3.0,10.31,8666.67,3,0,7.31,243.73
939,2022-12-01,2.0,16.0,10.05,143850.0,2,0,5.95,37.18
1421,2022-12-01,1.0,2.0,13.5,21100.0,1,0,11.5,575.25
1002,2022-12-01,10.0,5.0,15.28,89956.28,5,0,10.28,205.53
1463,2022-12-01,1.0,11.0,10.54,80000.0,1,0,0.46,4.2
29,2022-12-01,5.0,1.0,8.55,148172.34,2,0,7.55,755.07
288,2022-12-01,21.0,7.0,13.18,9000.0,6,0,6.18,88.34
407,2022-12-01,9.0,9.0,10.36,42476.34,2,0,1.36,15.11
470,2022-12-01,6.0,24.0,17.08,12455.0,5,0,6.92,28.83
1433,2022-12-01,3.0,2.0,9.14,31564.25,3,0,7.14,356.91
936,2022-12-01,14.0,73.0,49.44,62150.0,10,0,23.56,32.27
1868,2022-12-01,6.0,28.0,18.48,16853.97,1,0,9.52,34.02
685,2022-12-01,16.0,5.0,9.25,18247.5,4,0,4.25,85.01
1432,2022-12-01,1.0,2.0,10.23,110500.0,1,0,8.23,411.64
T98,2022-12-01,1.0,37.0,26.38,800.0,1,0,10.62,28.71
589,2022-12-01,5.0,34.0,22.32,9848.33,3,0,11.68,34.36
2879,2022-12-01,13.0,45.0,40.5,38384.62,13,0,4.5,10.0
1423,2022-12-01,32.0,18.0,21.51,3711.35,13,1,3.51,19.5
282,2022-12-01,2.0,14.0,9.66,15000.0,2,0,4.34,30.98
